,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_exploration_fraction,params_gamma,params_gradient_steps,params_learning_rate,params_learning_starts,params_max_grad_norm,params_net_arch,params_target_update_interval,params_tau,params_train_freq,user_attrs_gamma,state
52,52,-507.6593957,2025-01-18 07:03:21.617605,2025-01-18 07:03:26.333787,0 days 00:00:04.716182,tanh,5,3,0.38430664655907987,0.9436396973688462,3,0.0036218633093936955,8,2.7976901125834623,tiny,3,0.9110958682442453,185,0.9436396973688462,PRUNED
53,53,-717.3587954000001,2025-01-18 07:03:26.334659,2025-01-18 07:03:32.371332,0 days 00:00:06.036673,tanh,4,4,0.49757684887095527,0.9506857509716089,2,0.04886719140004087,7,3.936318057305624,tiny,4,0.9249070155919794,151,0.9506857509716089,PRUNED
54,54,-139.13493599999998,2025-01-18 07:03:32.372225,2025-01-18 07:03:44.153435,0 days 00:00:11.781210,tanh,5,3,0.37890666882364055,0.9550555806941442,1,0.0014729791669043331,9,3.1437568024953615,tiny,3,0.7935494979367682,180,0.9550555806941442,COMPLETE
55,55,-549.4831939,2025-01-18 07:03:44.155156,2025-01-18 07:03:50.446214,0 days 00:00:06.291058,tanh,4,3,0.4597362490713756,0.9384738240405002,3,0.01057342507392881,8,3.5314974251661106,tiny,4,0.9027532225943702,200,0.9384738240405002,PRUNED
56,56,-572.0410820999999,2025-01-18 07:03:50.447203,2025-01-18 07:03:58.124853,0 days 00:00:07.677650,tanh,5,3,0.30946849136977533,0.9500310414806642,2,0.006661308136633152,9,4.135870931977736,tiny,3,0.7500889177615414,148,0.9500310414806642,PRUNED
57,57,-507.21435490000005,2025-01-18 07:03:58.125925,2025-01-18 07:04:03.633112,0 days 00:00:05.507187,tanh,3,4,0.26267650584684743,0.9281611930528443,2,0.9756389930724964,10,4.421578582469687,tiny,4,0.8127479237441927,161,0.9281611930528443,PRUNED
58,58,-1011.1407268999999,2025-01-18 07:04:03.634421,2025-01-18 07:04:10.208692,0 days 00:00:06.574271,tanh,6,7,0.3939825568724186,0.9579519035364462,3,0.2760493507745957,8,1.339816454944241,tiny,3,0.825156329618369,193,0.9579519035364462,PRUNED
59,59,-171.32718140000003,2025-01-18 07:04:10.209588,2025-01-18 07:04:23.111224,0 days 00:00:12.901636,tanh,4,3,0.3491038732765903,0.9676622742088912,3,0.05878046771434101,7,3.768221093893895,tiny,3,0.941673741838027,177,0.9676622742088912,COMPLETE
60,60,-569.5927735,2025-01-18 07:04:23.112191,2025-01-18 07:04:29.312673,0 days 00:00:06.200482,tanh,5,4,0.3321865780892661,0.9409720920903434,1,0.002365710880562364,9,4.841075748714471,tiny,3,0.875696350575612,133,0.9409720920903434,PRUNED
61,61,-150.3724462,2025-01-18 07:04:29.313477,2025-01-18 07:04:40.160106,0 days 00:00:10.846629,tanh,5,3,0.3788200517247743,0.951872236427095,1,0.0016995531224467345,9,2.3497205854234084,tiny,3,0.7935630973672352,182,0.951872236427095,COMPLETE
62,62,-612.9810626,2025-01-18 07:04:40.161089,2025-01-18 07:04:46.579888,0 days 00:00:06.418799,tanh,5,3,0.41885387332804375,0.9457166351826556,1,0.000837107843379549,9,3.1463554551972672,tiny,3,0.8038359865180709,178,0.9457166351826556,PRUNED
63,63,-714.4068810000001,2025-01-18 07:04:46.580848,2025-01-18 07:04:52.548681,0 days 00:00:05.967833,tanh,6,3,0.28312398542914674,0.9558060706428085,1,0.004530118636845325,8,3.4277528467908436,tiny,4,0.7849464164265323,192,0.9558060706428085,PRUNED
64,64,-395.22003290000004,2025-01-18 07:04:52.549416,2025-01-18 07:04:58.522568,0 days 00:00:05.973152,tanh,4,3,0.3674984946275415,0.9467502054078119,1,0.0004921019812708478,10,2.697827539156496,tiny,3,0.8428034091509445,165,0.9467502054078119,PRUNED
65,65,-574.203211,2025-01-18 07:04:58.523567,2025-01-18 07:05:05.276574,0 days 00:00:06.753007,tanh,5,4,0.46048184209050524,0.9327592664315364,3,0.0003352820055869927,9,3.114364317333633,tiny,3,0.8311027768121095,189,0.9327592664315364,PRUNED
66,66,-599.5177156,2025-01-18 07:05:05.277309,2025-01-18 07:05:10.858922,0 days 00:00:05.581613,tanh,7,5,0.40143766803230346,0.9749641697730874,1,0.017287012166189778,8,4.327822061937837,tiny,4,0.8188309810692064,194,0.9749641697730874,PRUNED
67,67,-567.8811314000001,2025-01-18 07:05:10.860277,2025-01-18 07:05:16.464175,0 days 00:00:05.603898,tanh,6,3,0.3591348493733822,0.9543568038679904,2,0.0006709676785812556,7,3.963396885832971,tiny,7,0.9213304857148105,156,0.9543568038679904,PRUNED
68,68,-310.29829970000003,2025-01-18 07:05:16.465130,2025-01-18 07:05:22.995870,0 days 00:00:06.530740,tanh,10,7,0.43420437059027606,0.9588406486219204,3,0.00015476442304873013,9,3.6582867615956713,tiny,4,0.7768697385935227,176,0.9588406486219204,PRUNED
69,69,-572.9767113999999,2025-01-18 07:05:22.996545,2025-01-18 07:05:28.375459,0 days 00:00:05.378914,tanh,4,3,0.498170634648985,0.9846022779387589,3,0.0014703759828981397,10,4.569850023889256,tiny,7,0.850387020505119,145,0.9846022779387589,PRUNED
