#{"t_start": 1736976260.7426088, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
340.0,3961,2325.102168
205.0,2341,2327.021999
265.0,3103,2329.647136
1010.0,6957,2335.426281
335.0,3467,2338.273002
310.0,2969,2340.72786
260.0,2791,2343.157996
55.0,1389,2344.348698
670.0,4951,2350.024616
260.0,3372,2366.071351
480.0,4067,2369.251359
425.0,3847,2372.38344
480.0,4767,2376.297196
925.0,4635,2382.193366
435.0,4229,2385.691084
500.0,4185,2389.155219
355.0,3219,2391.832796
390.0,5250,2396.233889
535.0,3963,2399.630259
410.0,3939,2402.986001
625.0,3995,2406.352204
1090.0,6817,2413.661598
310.0,3133,2416.197326
120.0,2001,2417.883008
335.0,2905,2420.282695
620.0,4435,2424.010647
620.0,4125,2427.433573
555.0,4059,2430.843004
310.0,3013,2433.338691
135.0,2973,2435.790807
585.0,4515,2439.569006
475.0,3325,2443.915474
805.0,7285,2449.838968
490.0,5267,2467.279539
535.0,4629,2471.457444
