,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_target_kl,params_vf_coef,state
31,31,-inf,2025-02-02 22:16:50.806965,2025-02-02 22:16:50.830915,0 days 00:00:00.023950,tanh,88,0.2827479883043587,1.3079756364753256e-05,0.8405636903673364,0.9274811876950838,0.00011619369226556439,4.305105692573667,10,213,small,0.17304585781639875,0.9975258020424088,COMPLETE
32,32,-inf,2025-02-02 22:16:50.831618,2025-02-02 22:16:50.855691,0 days 00:00:00.024073,tanh,54,0.28533704399998416,0.00013295280230889034,0.8619105739718543,0.9174266619725834,0.000205003767986821,3.2811008691612473,10,168,small,0.1907422230406874,0.9826617349401165,COMPLETE
33,33,-inf,2025-02-02 22:16:50.856464,2025-02-02 22:16:50.880697,0 days 00:00:00.024233,tanh,74,0.2651684261561816,0.00023201589712826224,0.8116161551584335,0.9288805967229397,1.4897628252446255e-05,4.9936699850999675,9,36,small,0.1599617201037975,0.9509734316007016,COMPLETE
34,34,-inf,2025-02-02 22:16:50.881420,2025-02-02 22:16:50.905496,0 days 00:00:00.024076,tanh,127,0.22737129198874853,2.7264452861050697e-05,0.8314558898003559,0.9568400708702596,9.637708047945562e-05,3.3700885796435083,3,237,small,0.13211611094109005,0.6517242452158121,COMPLETE
35,35,-inf,2025-02-02 22:16:50.906444,2025-02-02 22:16:50.930444,0 days 00:00:00.024000,tanh,33,0.24251134281357478,7.934604756390244e-05,0.9877878991329119,0.9359724519625554,0.00014284759718516962,4.612423944220228,2,256,small,0.14387918211948034,0.7967304997225653,COMPLETE
36,36,-inf,2025-02-02 22:16:50.931092,2025-02-02 22:16:50.956335,0 days 00:00:00.025243,tanh,256,0.2897461854555229,0.006418448792038068,0.89079472469541,0.9183502739001479,6.934114380133647e-05,4.462694823351907,9,207,tiny,0.16746739246105277,0.9142066146426607,COMPLETE
37,37,-inf,2025-02-02 22:16:50.957078,2025-02-02 22:16:50.983378,0 days 00:00:00.026300,relu,102,0.19783010796792527,4.8880723746295214e-05,0.8719506057175136,0.9743233400950612,0.00029446243565836816,0.9944454039700648,4,106,small,0.19005088062644,0.7645861286077006,COMPLETE
38,38,-inf,2025-02-02 22:16:50.984085,2025-02-02 22:16:51.011022,0 days 00:00:00.026937,tanh,197,0.2644430474412674,0.0029818922638182787,0.8486913855583117,0.9002732979156697,0.0008311521716160236,3.9559884181167346,1,33,small,0.10923655647422398,0.5311155902758278,COMPLETE
39,39,-inf,2025-02-02 22:16:51.011794,2025-02-02 22:16:51.036840,0 days 00:00:00.025046,relu,243,0.25353205969223297,0.001809389293784455,0.9179886169141277,0.9071560128397524,0.0001861930219095525,3.608271867877985,5,59,tiny,0.1519013910435819,0.8431889939621183,COMPLETE
40,40,-inf,2025-02-02 22:16:51.038194,2025-02-02 22:16:51.064077,0 days 00:00:00.025883,tanh,185,0.1656975044747255,0.00011275628034900844,0.9536683718901846,0.9925026169651775,5.062055607613054e-05,1.7132198938331262,3,223,small,0.05154623093880266,0.6821956786912099,COMPLETE
41,41,-inf,2025-02-02 22:16:51.064783,2025-02-02 22:16:51.092226,0 days 00:00:00.027443,tanh,9,0.14570227386165147,1.4409290821922785e-05,0.957699155706709,0.9177783640611649,1.8198704617039036e-05,2.809282158647089,1,166,tiny,0.029557556261974587,0.8154231105075306,COMPLETE
42,42,-inf,2025-02-02 22:16:51.092976,2025-02-02 22:16:51.119278,0 days 00:00:00.026302,tanh,48,0.203587868363972,2.926683289640706e-05,0.9359926160700134,0.9224059423943071,2.912548370907107e-05,2.31112089288617,2,194,tiny,0.03057605976675492,0.8485173419696785,COMPLETE
43,43,-inf,2025-02-02 22:16:51.120025,2025-02-02 22:16:51.145432,0 days 00:00:00.025407,tanh,97,0.18997248237384037,0.00020751679431497687,0.809174944068468,0.907171023083131,1.3963283756239773e-05,3.118797691631856,7,150,tiny,0.04337119237145088,0.722756403017586,COMPLETE
44,44,-inf,2025-02-02 22:16:51.146324,2025-02-02 22:16:51.171145,0 days 00:00:00.024821,tanh,22,0.11222730521327276,0.0007307464082279121,0.968190334759232,0.9329831548920915,1.6418523333736665e-05,2.5875845311263426,9,122,tiny,0.06249515446626055,0.8840816134655762,COMPLETE
45,45,-inf,2025-02-02 22:16:51.171868,2025-02-02 22:16:51.198601,0 days 00:00:00.026733,tanh,35,0.2212585543376882,1.0701777061086903e-05,0.9726675055273557,0.9831948249819312,0.00027671616221598434,3.4513216561544677,6,83,small,0.011203526652385554,0.77166985155013,COMPLETE
46,46,-inf,2025-02-02 22:16:51.199336,2025-02-02 22:16:51.225938,0 days 00:00:00.026602,tanh,77,0.23386043980682694,0.00030560364917869864,0.9055166058563558,0.9425356199927811,3.422270280806023e-05,3.8411638249130187,7,173,small,0.06950981039693407,0.960376993259989,COMPLETE
47,47,-inf,2025-02-02 22:16:51.226618,2025-02-02 22:16:51.253217,0 days 00:00:00.026599,tanh,71,0.24554228325562089,0.0008925294024385248,0.9403310955997182,0.9637938480176457,1.2690620818961745e-05,3.044118247323796,4,145,tiny,0.19986678974859873,0.5991028959204538,COMPLETE
48,48,-inf,2025-02-02 22:16:51.253941,2025-02-02 22:16:51.281245,0 days 00:00:00.027304,tanh,212,0.15074833461537004,0.0017454170061622937,0.9258181134308306,0.9774485367744623,8.407947340478853e-05,4.210067315409192,3,114,small,0.12399601004212393,0.7541706645214874,COMPLETE
49,49,-inf,2025-02-02 22:16:51.281973,2025-02-02 22:16:51.306970,0 days 00:00:00.024997,relu,38,0.29950462440457304,0.0036592438928760886,0.8738687680072484,0.9964486470683421,0.00012559280598452524,4.809953100440849,10,245,small,0.0900115518674965,0.9180742129854094,COMPLETE
50,50,-inf,2025-02-02 22:16:51.307736,2025-02-02 22:16:51.334174,0 days 00:00:00.026438,tanh,22,0.17547719749162832,2.0694867157965567e-05,0.893012413724654,0.9497478466918708,6.013583644459156e-05,2.6117724568854053,5,214,tiny,0.10295175827203676,0.7987897580333556,COMPLETE
51,51,-inf,2025-02-02 22:16:51.334920,2025-02-02 22:16:51.361832,0 days 00:00:00.026912,relu,218,0.270141023989756,0.006819605110533936,0.9635329572406017,0.9882071352506482,0.0008270589298818023,1.2471707344439784,1,50,small,0.15710642522236495,0.5150841087413922,COMPLETE
52,52,-inf,2025-02-02 22:16:51.362600,2025-02-02 22:16:51.391266,0 days 00:00:00.028666,relu,242,0.2919937766949568,0.005612465490699244,0.926284773615144,0.9946498507939275,2.3080915789622805e-05,0.7162542223434943,3,95,small,0.18009780565711453,0.5523259524095148,COMPLETE
53,53,-inf,2025-02-02 22:16:51.392304,2025-02-02 22:16:51.418670,0 days 00:00:00.026366,relu,228,0.10205526151301357,0.0024782147413888005,0.914779484968065,0.985670737716711,0.0005350987512015488,1.9805143374505527,4,28,small,0.18762713275362441,0.5527829295538246,COMPLETE
54,54,-inf,2025-02-02 22:16:51.419379,2025-02-02 22:16:51.448183,0 days 00:00:00.028804,relu,129,0.28182408724768726,0.009738796927260185,0.9882170456155529,0.9994942738052282,4.196404496150246e-05,1.3493811137800151,3,56,small,0.14286210785584422,0.7054396101282321,COMPLETE
55,55,-inf,2025-02-02 22:16:51.448796,2025-02-02 22:16:51.477174,0 days 00:00:00.028378,relu,242,0.25858625882447367,3.822415860204688e-05,0.842790925032234,0.9806364052426041,0.00025082808754961294,0.501802530260467,2,47,small,0.1684741173644939,0.6396974854127101,COMPLETE
56,56,-inf,2025-02-02 22:16:51.477915,2025-02-02 22:16:51.505829,0 days 00:00:00.027914,relu,169,0.27400779309490597,0.0042842984713486725,0.8207711315676949,0.9688125364100186,1.1178652970443244e-05,2.9375159534967286,4,23,tiny,0.17980344349649985,0.6858972439422275,COMPLETE
